index,num,time
0,10794, 17/03/31 02:00:02
1,10749, 17/03/31 02:02:01
2,10772, 17/03/31 02:04:01
3,10791, 17/03/31 02:06:01
4,10815, 17/03/31 02:08:01
5,10770, 17/03/31 02:10:01
6,10756, 17/03/31 02:12:01
7,10683, 17/03/31 02:14:02
8,10686, 17/03/31 02:16:01
9,10707, 17/03/31 02:18:01
10,10679, 17/03/31 02:20:01
11,10667, 17/03/31 02:22:01
12,10781, 17/03/31 02:24:01
13,10781, 17/03/31 02:26:01
14,10842, 17/03/31 02:28:01
15,10821, 17/03/31 02:30:01
16,10803, 17/03/31 02:32:01
17,10760, 17/03/31 02:34:02
18,10740, 17/03/31 02:36:01
19,10689, 17/03/31 02:38:01
20,10673, 17/03/31 02:40:01
21,10648, 17/03/31 02:42:01
22,10625, 17/03/31 02:44:02
23,10490, 17/03/31 02:46:01
24,10487, 17/03/31 02:48:01
25,10492, 17/03/31 02:50:01
26,10517, 17/03/31 02:52:01
27,10556, 17/03/31 02:54:01
28,10595, 17/03/31 02:56:01
29,10571, 17/03/31 02:58:01
30,10552, 17/03/31 03:00:01
31,10509, 17/03/31 03:02:01
32,10589, 17/03/31 03:04:01
33,10576, 17/03/31 03:06:01
34,10590, 17/03/31 03:08:01
35,10560, 17/03/31 03:10:01
36,10564, 17/03/31 03:12:01
37,10578, 17/03/31 03:14:01
38,10650, 17/03/31 03:16:01
39,10580, 17/03/31 03:18:01
40,10519, 17/03/31 03:20:01
41,10563, 17/03/31 03:22:01
42,10658, 17/03/31 03:24:01
43,10735, 17/03/31 03:26:01
44,10725, 17/03/31 03:28:01
45,10665, 17/03/31 03:30:02
46,10585, 17/03/31 03:32:01
47,10591, 17/03/31 03:34:01
48,10591, 17/03/31 03:36:01
49,10562, 17/03/31 03:38:01
50,10554, 17/03/31 03:40:02
51,10497, 17/03/31 03:42:01
52,10526, 17/03/31 03:44:01
53,10426, 17/03/31 03:46:01
54,10426, 17/03/31 03:48:01
55,10462, 17/03/31 03:50:01
56,10398, 17/03/31 03:52:01
57,10416, 17/03/31 03:54:01
58,10488, 17/03/31 03:56:01
59,10420, 17/03/31 03:58:01
60,10370, 17/03/31 04:00:01
61,10320, 17/03/31 04:02:01
62,10346, 17/03/31 04:04:01
63,10376, 17/03/31 04:06:01
64,10331, 17/03/31 04:08:01
65,10366, 17/03/31 04:10:01
66,10338, 17/03/31 04:12:01
67,10361, 17/03/31 04:14:01
68,10332, 17/03/31 04:16:01
69,10261, 17/03/31 04:18:01
70,10096, 17/03/31 04:20:01
71,10022, 17/03/31 04:22:01
72,10102, 17/03/31 04:24:01
73,10083, 17/03/31 04:26:01
74,10100, 17/03/31 04:28:01
75,10160, 17/03/31 04:30:01
76,10150, 17/03/31 04:32:01
77,10119, 17/03/31 04:34:01
78,10205, 17/03/31 04:36:01
79,10288, 17/03/31 04:38:01
80,10291, 17/03/31 04:40:02
81,10248, 17/03/31 04:42:01
82,10227, 17/03/31 04:44:01
83,10108, 17/03/31 04:46:01
84,10103, 17/03/31 04:48:01
85,10175, 17/03/31 04:50:01
86,10212, 17/03/31 04:52:01
87,10168, 17/03/31 04:54:01
88,10115, 17/03/31 04:56:01
89,10070, 17/03/31 04:58:01
90,10050, 17/03/31 05:00:01
91,10011, 17/03/31 05:02:01
92,9939, 17/03/31 05:04:01
93,9919, 17/03/31 05:06:01
94,9918, 17/03/31 05:08:01
95,9921, 17/03/31 05:10:01
96,9849, 17/03/31 05:12:01
97,9825, 17/03/31 05:14:01
98,9797, 17/03/31 05:16:01
99,9731, 17/03/31 05:18:01
100,9692, 17/03/31 05:20:01
101,9686, 17/03/31 05:22:01
102,9678, 17/03/31 05:24:01
103,9673, 17/03/31 05:26:01
104,9697, 17/03/31 05:28:01
105,9674, 17/03/31 05:30:01
106,9645, 17/03/31 05:32:01
107,9632, 17/03/31 05:34:01
108,9676, 17/03/31 05:36:01
109,9607, 17/03/31 05:38:01
110,9649, 17/03/31 05:40:01
111,9584, 17/03/31 05:42:02
112,9501, 17/03/31 05:44:01
113,9429, 17/03/31 05:46:01
114,9323, 17/03/31 05:48:01
