Total Players,59090,17/03/27 00:00:01
Germany,12655,17/03/27 02:00:01
UK,3350,17/03/27 01:00:01
USA,26771,17/03/26 17:00:01
Total Players,58931,17/03/27 00:02:01
Germany,12609,17/03/27 02:02:01
UK,3328,17/03/27 01:02:01
USA,27271,17/03/26 17:02:01
Total Players,58964,17/03/27 00:04:01
Germany,12594,17/03/27 02:04:01
UK,3316,17/03/27 01:04:01
USA,26697,17/03/26 17:04:01
Total Players,58845,17/03/27 00:06:01
Germany,12576,17/03/27 02:06:01
UK,3277,17/03/27 01:06:01
USA,26708,17/03/26 17:06:01
Total Players,58901,17/03/27 00:08:01
Germany,12611,17/03/27 02:08:01
UK,3268,17/03/27 01:08:01
USA,26743,17/03/26 17:08:01
Total Players,58856,17/03/27 00:10:01
Germany,12632,17/03/27 02:10:01
UK,3226,17/03/27 01:10:01
USA,27341,17/03/26 17:10:01
Total Players,58851,17/03/27 00:12:02
Germany,12553,17/03/27 02:12:02
UK,3260,17/03/27 01:12:02
USA,27373,17/03/26 17:12:02
Total Players,58733,17/03/27 00:14:01
Germany,12456,17/03/27 02:14:01
UK,3274,17/03/27 01:14:01
USA,27369,17/03/26 17:14:01
Total Players,58744,17/03/27 00:16:01
Germany,12490,17/03/27 02:16:01
UK,3263,17/03/27 01:16:01
USA,27354,17/03/26 17:16:01
Total Players,58746,17/03/27 00:18:01
Germany,12453,17/03/27 02:18:01
UK,3302,17/03/27 01:18:01
USA,27386,17/03/26 17:18:01
Total Players,58503,17/03/27 00:20:01
Germany,12421,17/03/27 02:20:01
UK,3290,17/03/27 01:20:01
USA,27209,17/03/26 17:20:01
Total Players,58547,17/03/27 00:22:01
Germany,12423,17/03/27 02:22:01
UK,3319,17/03/27 01:22:01
USA,27188,17/03/26 17:22:01
Total Players,58651,17/03/27 00:24:01
Germany,12463,17/03/27 02:24:01
UK,3338,17/03/27 01:24:01
USA,27250,17/03/26 17:24:01
Total Players,58544,17/03/27 00:26:01
Germany,12391,17/03/27 02:26:01
UK,3317,17/03/27 01:26:01
USA,27247,17/03/26 17:26:01
Total Players,58476,17/03/27 00:28:01
Germany,12305,17/03/27 02:28:01
UK,3307,17/03/27 01:28:01
USA,26765,17/03/26 17:28:01
Total Players,58488,17/03/27 00:30:01
Germany,12331,17/03/27 02:30:01
UK,3301,17/03/27 01:30:01
USA,27310,17/03/26 17:30:01
Total Players,58390,17/03/27 00:32:01
Germany,12319,17/03/27 02:32:01
UK,3273,17/03/27 01:32:01
USA,26684,17/03/26 17:32:01
Total Players,58516,17/03/27 00:34:01
Germany,12349,17/03/27 02:34:01
UK,3286,17/03/27 01:34:01
USA,26752,17/03/26 17:34:01
Total Players,58552,17/03/27 00:36:01
Germany,12335,17/03/27 02:36:01
UK,3281,17/03/27 01:36:01
USA,26789,17/03/26 17:36:01
Total Players,58544,17/03/27 00:38:01
Germany,12323,17/03/27 02:38:01
UK,3270,17/03/27 01:38:01
USA,26852,17/03/26 17:38:01
Total Players,58578,17/03/27 00:40:01
Germany,12321,17/03/27 02:40:01
UK,3282,17/03/27 01:40:01
USA,26892,17/03/26 17:40:01
Total Players,58495,17/03/27 00:42:01
Germany,12247,17/03/27 02:42:01
UK,3274,17/03/27 01:42:01
USA,26880,17/03/26 17:42:01
Total Players,58242,17/03/27 00:44:01
Germany,12145,17/03/27 02:44:01
UK,3234,17/03/27 01:44:01
USA,26805,17/03/26 17:44:01
Total Players,58084,17/03/27 00:46:01
Germany,12195,17/03/27 02:46:01
UK,3266,17/03/27 01:46:01
USA,26686,17/03/26 17:46:01
Total Players,58101,17/03/27 00:48:01
Germany,12171,17/03/27 02:48:01
UK,3272,17/03/27 01:48:01
USA,26687,17/03/26 17:48:01
Total Players,58315,17/03/27 00:50:01
Germany,12221,17/03/27 02:50:01
UK,3268,17/03/27 01:50:01
USA,26769,17/03/26 17:50:01
Total Players,58266,17/03/27 00:52:01
Germany,12207,17/03/27 02:52:01
UK,3255,17/03/27 01:52:01
USA,26837,17/03/26 17:52:01
Total Players,58300,17/03/27 00:54:01
Germany,12246,17/03/27 02:54:01
UK,3269,17/03/27 01:54:01
USA,26829,17/03/26 17:54:01
Total Players,58339,17/03/27 00:56:01
Germany,12237,17/03/27 02:56:01
UK,3303,17/03/27 01:56:01
USA,26832,17/03/26 17:56:01
Total Players,58387,17/03/27 00:58:01
Germany,12217,17/03/27 02:58:01
UK,3302,17/03/27 01:58:01
USA,26873,17/03/26 17:58:01
Total Players,58309,17/03/27 01:00:01
Germany,12200,17/03/27 03:00:01
UK,3261,17/03/27 02:00:01
USA,27373,17/03/26 18:00:01
Total Players,58249,17/03/27 01:02:01
Germany,12182,17/03/27 03:02:01
UK,3259,17/03/27 02:02:01
USA,27405,17/03/26 18:02:01
Total Players,58168,17/03/27 01:04:01
Germany,12183,17/03/27 03:04:01
UK,3236,17/03/27 02:04:01
USA,27364,17/03/26 18:04:01
Total Players,58135,17/03/27 01:06:01
Germany,12150,17/03/27 03:06:01
UK,3206,17/03/27 02:06:01
USA,27383,17/03/26 18:06:01
Total Players,58220,17/03/27 01:08:01
Germany,12211,17/03/27 03:08:01
UK,3235,17/03/27 02:08:01
USA,26845,17/03/26 18:08:01
Total Players,58043,17/03/27 01:10:01
Germany,12192,17/03/27 03:10:01
UK,3239,17/03/27 02:10:01
USA,27302,17/03/26 18:10:01
Total Players,57930,17/03/27 01:12:01
Germany,12239,17/03/27 03:12:01
UK,3220,17/03/27 02:12:01
USA,27218,17/03/26 18:12:01
Total Players,57820,17/03/27 01:14:01
Germany,12149,17/03/27 03:14:01
UK,3205,17/03/27 02:14:01
USA,27236,17/03/26 18:14:01
Total Players,57828,17/03/27 01:16:01
Germany,12170,17/03/27 03:16:01
UK,3203,17/03/27 02:16:01
USA,26677,17/03/26 18:16:01
Total Players,57779,17/03/27 01:18:01
Germany,12098,17/03/27 03:18:01
UK,3242,17/03/27 02:18:01
USA,26590,17/03/26 18:18:01
Total Players,57676,17/03/27 01:20:01
Germany,12051,17/03/27 03:20:01
UK,3253,17/03/27 02:20:01
USA,26532,17/03/26 18:20:01
Total Players,57674,17/03/27 01:22:01
Germany,12044,17/03/27 03:22:01
UK,3232,17/03/27 02:22:01
USA,26480,17/03/26 18:22:01
Total Players,58001,17/03/27 01:24:01
Germany,12134,17/03/27 03:24:01
UK,3225,17/03/27 02:24:01
USA,26691,17/03/26 18:24:01
Total Players,57977,17/03/27 01:26:01
Germany,12149,17/03/27 03:26:01
UK,3227,17/03/27 02:26:01
USA,26653,17/03/26 18:26:01
Total Players,57958,17/03/27 01:28:01
Germany,12077,17/03/27 03:28:01
